name,country,admin1,Mass gathering restrictions,Stay at Home Order,Educational facilities closed,Initial business closures,Non-essential services closed,Travel severely limited,Source Mass gathering restrictions,Source Stay at Home Order,Source Educational facilities closed,Source Initial business closure,Source Non-essential services closed,Source Travel severely limited
Ceuta,Spain,Ceuta,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Comunidad Valenciana,Spain,Comunidad Valenciana,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Extremadura,Spain,Extremadura,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Galicia,Spain,Galicia,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Comunidad de Madrid,Spain,Comunidad de Madrid,full implementation,15.03.2020,11.03.2020,full implementation,13.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.comunidad.madrid/notas-prensa/2020/03/13/comunidad-madrid-ordena-cierre-establecimientos-comercios-alimentacion-primera-necesidad,https://www.comunidad.madrid/notas-prensa/2020/03/13/comunidad-madrid-ordena-cierre-establecimientos-comercios-alimentacion-primera-necesidad,
Spain,Spain,Comunidad de Madrid,full implementation,15.03.2020,11.03.2020,full implementation,13.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.comunidad.madrid/notas-prensa/2020/03/13/comunidad-madrid-ordena-cierre-establecimientos-comercios-alimentacion-primera-necesidad,https://www.comunidad.madrid/notas-prensa/2020/03/13/comunidad-madrid-ordena-cierre-establecimientos-comercios-alimentacion-primera-necesidad,
Melilla,Spain,Melilla,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Region de Murcia,Spain,Region de Murcia,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Comunidad Foral de Navarra,Spain,Comunidad Foral de Navarra,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
Pais Vasco,Spain,Pais Vasco,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
La Rioja,Spain,La Rioja,full implementation,15.03.2020,14.03.2020,full implementation,15.03.2020,not implemented,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/eli/es/rd/2020/03/14/463/con,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,https://www.boe.es/boe/dias/2020/03/14/pdfs/BOE-A-2020-3692.pdf,
France,France,,04.03.2020,16.03.2020,12.03.2020,full implementation,14.03.2020,17.03.2020,https://www.covid19healthsystem.org/mainpage.aspx ,Complete sub-location set,Complete sub-location set,Complete sub-location set,Complete sub-location set,Complete sub-location set
Alabama,USA,Alabama,19.03.2020,04.04.2020,19.03.2020,19.03.2020,28.03.2020,not implemented,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,http://www.alabamapublichealth.gov/legal/assets/soe-covid19-stamped-040320.pdf,https://governor.alabama.gov/newsroom/2020/03/supplemental-state-of-emergency-coronavirus-covid-19/,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,https://www.alabamanews.net/2020/03/27/alabamas-non-essential-businesses-closed-until-april-17/,
Alaska,USA,Alaska,24.03.2020,28.03.2020,16.03.2020,17.03.2020,28.03.2020,28.03.2020,https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-009.pdf,https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-COVID-19-Health-Mandate-010-Attachment-A.pdf,https://gov.alaska.gov/wp-content/uploads/sites/2/03132020-COVID-19-Health-Mandate-001.pdf,https://gov.alaska.gov/wp-content/uploads/sites/2/03.16.20-COVID-19-Health-Mandate-002.pdf,https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-COVID-19-Health-Mandate-010-Attachment-A.pdf,https://gov.alaska.gov/wp-content/uploads/sites/2/04132020-COVID-MANDATE-012-Alaska-Small-Community-Emergency-Travel-Order.pdf
Arizona,USA,Arizona,full implementation,30.03.2020,16.03.2020,not implemented,not implemented,not implemented,https://azgovernor.gov/file/34365/download?token=6YdWos-F,https://azgovernor.gov/file/34365/download?token=6YdWos-F,https://www.azed.gov/communications/2020/03/10/guidance-to-schools-on-covid-19/,,,
Arkansas,USA,Arkansas,27.03.2020,not implemented,17.03.2020,19.03.2020,not implemented,not implemented,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-10._.pdf,,http://adecm.arkansas.gov/ViewApprovedMemo.aspx?id=4328,https://www.healthy.arkansas.gov/images/uploads/pdf/Directive_03.19.2020_final.pdf,,
California,USA,California,11.03.2020,19.03.2020,19.03.2020,full implementation,19.03.2020,not implemented,https://www.gov.ca.gov/2020/03/11/california-public-health-experts-mass-gatherings-should-be-postponed-or-canceled-statewide-to-slow-the-spread-of-covid-19/,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,
Los Angeles-California,USA,California,11.03.2020,19.03.2020,19.03.2020,full implementation,19.03.2020,not implemented,https://www.gov.ca.gov/2020/03/11/california-public-health-experts-mass-gatherings-should-be-postponed-or-canceled-statewide-to-slow-the-spread-of-covid-19/,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,
Santa Clara-California,USA,California,8.03.2020,16.03.2020,16.03.2020,full implementation,16.03.2020,not implemented,https://www.gov.ca.gov/2020/03/11/california-public-health-experts-mass-gatherings-should-be-postponed-or-canceled-statewide-to-slow-the-spread-of-covid-19/,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,
Colorado,USA,Colorado,19.03.2020,26.03.2020,23.03.2020,17.03.2020,26.03.2020,not implemented,https://drive.google.com/file/d/1AaKvB7q0LHUfU59bI_q08Lz4rCthailr/view,https://drive.google.com/file/d/1O1EDCY6-A6QBKxzDImCSF8bBBdOOI3Km/view,https://drive.google.com/file/d/1Vz5wNvSyEfH7ylr-ZdUqeEJ_vYVw3wdk/view,https://www.colorado.gov/pacific/sites/default/files/atoms/files/Bars%20Restaurants%20PH%20order.pdf,https://drive.google.com/file/d/1O1EDCY6-A6QBKxzDImCSF8bBBdOOI3Km/view,
Connecticut,USA,Connecticut,12.03.2020,not implemented,17.03.2020,16.03.2020,23.03.2020,not implemented,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7.pdf?la=en,,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7C.pdf?la=en,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7D.pdf?la=en,"https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7H.pdf?la=en
",
