district,name,state,statename,timestamp,dataname,data
45,Faridkot,3,Punjab,06-04-2020,Cases,1
45,Faridkot,3,Punjab,06-04-2020,Deaths,0
46,Bathinda,3,Punjab,06-04-2020,Cases,0
46,Bathinda,3,Punjab,06-04-2020,Deaths,0
47,Mansa,3,Punjab,06-04-2020,Cases,3
47,Mansa,3,Punjab,06-04-2020,Deaths,0
48,Patiala,3,Punjab,06-04-2020,Cases,1
48,Patiala,3,Punjab,06-04-2020,Deaths,0
49,Amritsar,3,Punjab,06-04-2020,Cases,7
49,Amritsar,3,Punjab,06-04-2020,Deaths,1
50,Tarn Taran,3,Punjab,06-04-2020,Cases,0
50,Tarn Taran,3,Punjab,06-04-2020,Deaths,0
51,Rupnagar,3,Punjab,06-04-2020,Cases,1
51,Rupnagar,3,Punjab,06-04-2020,Deaths,0
52,Sahibzada Ajit Singh Nag*,3,Punjab,06-04-2020,Cases,15
52,Sahibzada Ajit Singh Nag*,3,Punjab,06-04-2020,Deaths,1
53,Sangrur,3,Punjab,06-04-2020,Cases,0
53,Sangrur,3,Punjab,06-04-2020,Deaths,0
54,Barnala,3,Punjab,06-04-2020,Cases,1
54,Barnala,3,Punjab,06-04-2020,Deaths,0
55,Chandigarh,4,Chandigarh,06-04-2020,Cases,18
55,Chandigarh,4,Chandigarh,06-04-2020,Deaths,0
56,Uttarkashi,5,Uttarakhand,06-04-2020,Cases,0
56,Uttarkashi,5,Uttarakhand,06-04-2020,Deaths,0
57,Chamoli,5,Uttarakhand,06-04-2020,Cases,0
57,Chamoli,5,Uttarakhand,06-04-2020,Deaths,0
58,Rudraprayag,5,Uttarakhand,06-04-2020,Cases,0
58,Rudraprayag,5,Uttarakhand,06-04-2020,Deaths,0
59,Tehri Garhwal,5,Uttarakhand,06-04-2020,Cases,0
59,Tehri Garhwal,5,Uttarakhand,06-04-2020,Deaths,0
60,Dehradun,5,Uttarakhand,06-04-2020,Cases,14
60,Dehradun,5,Uttarakhand,06-04-2020,Deaths,0
61,Garhwal,5,Uttarakhand,06-04-2020,Cases,2
61,Garhwal,5,Uttarakhand,06-04-2020,Deaths,0
62,Pithoragarh,5,Uttarakhand,06-04-2020,Cases,0
62,Pithoragarh,5,Uttarakhand,06-04-2020,Deaths,0
63,Bageshwar,5,Uttarakhand,06-04-2020,Cases,0
63,Bageshwar,5,Uttarakhand,06-04-2020,Deaths,0
64,Almora,5,Uttarakhand,06-04-2020,Cases,1
64,Almora,5,Uttarakhand,06-04-2020,Deaths,0
65,Champawat,5,Uttarakhand,06-04-2020,Cases,0
65,Champawat,5,Uttarakhand,06-04-2020,Deaths,0
66,Nainital,5,Uttarakhand,06-04-2020,Cases,6
66,Nainital,5,Uttarakhand,06-04-2020,Deaths,0
67,Udham Singh Nagar,5,Uttarakhand,06-04-2020,Cases,3
67,Udham Singh Nagar,5,Uttarakhand,06-04-2020,Deaths,0
68,Hardwar,5,Uttarakhand,06-04-2020,Cases,1
68,Hardwar,5,Uttarakhand,06-04-2020,Deaths,0
69,Panchkula,6,Haryana,06-04-2020,Cases,2
69,Panchkula,6,Haryana,06-04-2020,Deaths,0
70,Ambala,6,Haryana,06-04-2020,Cases,3
70,Ambala,6,Haryana,06-04-2020,Deaths,1
71,Yamunanagar,6,Haryana,06-04-2020,Cases,0
71,Yamunanagar,6,Haryana,06-04-2020,Deaths,0
72,Kurukshetra,6,Haryana,06-04-2020,Cases,0
72,Kurukshetra,6,Haryana,06-04-2020,Deaths,0
73,Kaithal,6,Haryana,06-04-2020,Cases,1
73,Kaithal,6,Haryana,06-04-2020,Deaths,0
74,Karnal,6,Haryana,06-04-2020,Cases,1
74,Karnal,6,Haryana,06-04-2020,Deaths,1
75,Panipat,6,Haryana,06-04-2020,Cases,2
75,Panipat,6,Haryana,06-04-2020,Deaths,0
76,Sonipat,6,Haryana,06-04-2020,Cases,1
76,Sonipat,6,Haryana,06-04-2020,Deaths,0
77,Jind,6,Haryana,06-04-2020,Cases,0
77,Jind,6,Haryana,06-04-2020,Deaths,0
78,Fatehabad,6,Haryana,06-04-2020,Cases,0
78,Fatehabad,6,Haryana,06-04-2020,Deaths,0
79,Sirsa,6,Haryana,06-04-2020,Cases,3
79,Sirsa,6,Haryana,06-04-2020,Deaths,0
80,Hisar,6,Haryana,06-04-2020,Cases,1
80,Hisar,6,Haryana,06-04-2020,Deaths,0
81,Bhiwani,6,Haryana,06-04-2020,Cases,2
81,Bhiwani,6,Haryana,06-04-2020,Deaths,0
82,Rohtak,6,Haryana,06-04-2020,Cases,1
82,Rohtak,6,Haryana,06-04-2020,Deaths,0
83,Jhajjar,6,Haryana,06-04-2020,Cases,0
83,Jhajjar,6,Haryana,06-04-2020,Deaths,0
84,Mahendragarh,6,Haryana,06-04-2020,Cases,0
84,Mahendragarh,6,Haryana,06-04-2020,Deaths,0
85,Rewari,6,Haryana,06-04-2020,Cases,0
85,Rewari,6,Haryana,06-04-2020,Deaths,0
86,Gurugram,6,Haryana,06-04-2020,Cases,18
86,Gurugram,6,Haryana,06-04-2020,Deaths,0
87,Mewat,6,Haryana,06-04-2020,Cases,8
87,Mewat,6,Haryana,06-04-2020,Deaths,0
88,Faridabad,6,Haryana,06-04-2020,Cases,14
88,Faridabad,6,Haryana,06-04-2020,Deaths,0
89,Palwal,6,Haryana,06-04-2020,Cases,17
89,Palwal,6,Haryana,06-04-2020,Deaths,0
90,North West,7,NCT of Delhi,06-04-2020,Cases,7
90,North West,7,NCT of Delhi,06-04-2020,Deaths,0
91,North,7,NCT of Delhi,06-04-2020,Cases,3
91,North,7,NCT of Delhi,06-04-2020,Deaths,0
92,North East,7,NCT of Delhi,06-04-2020,Cases,11
92,North East,7,NCT of Delhi,06-04-2020,Deaths,0
93,East,7,NCT of Delhi,06-04-2020,Cases,8
93,East,7,NCT of Delhi,06-04-2020,Deaths,0
94,New Delhi,7,NCT of Delhi,06-04-2020,Cases,2
94,New Delhi,7,NCT of Delhi,06-04-2020,Deaths,0
95,Central,7,NCT of Delhi,06-04-2020,Cases,4
95,Central,7,NCT of Delhi,06-04-2020,Deaths,0
96,West,7,NCT of Delhi,06-04-2020,Cases,8
96,West,7,NCT of Delhi,06-04-2020,Deaths,1
97,South West,7,NCT of Delhi,06-04-2020,Cases,5
97,South West,7,NCT of Delhi,06-04-2020,Deaths,0
98,South,7,NCT of Delhi,06-04-2020,Cases,296
98,South,7,NCT of Delhi,06-04-2020,Deaths,5
99,Ganganagar,8,Rajasthan,06-04-2020,Cases,0
99,Ganganagar,8,Rajasthan,06-04-2020,Deaths,0
100,Hanumangarh,8,Rajasthan,06-04-2020,Cases,0
100,Hanumangarh,8,Rajasthan,06-04-2020,Deaths,0
101,Bikaner,8,Rajasthan,06-04-2020,Cases,3
101,Bikaner,8,Rajasthan,06-04-2020,Deaths,1
102,Churu,8,Rajasthan,06-04-2020,Cases,10
102,Churu,8,Rajasthan,06-04-2020,Deaths,0
103,Jhunjhunun,8,Rajasthan,06-04-2020,Cases,16
103,Jhunjhunun,8,Rajasthan,06-04-2020,Deaths,0
104,Alwar,8,Rajasthan,06-04-2020,Cases,3
104,Alwar,8,Rajasthan,06-04-2020,Deaths,0
105,Bharatpur,8,Rajasthan,06-04-2020,Cases,5
105,Bharatpur,8,Rajasthan,06-04-2020,Deaths,0
106,Dhaulpur,8,Rajasthan,06-04-2020,Cases,1
106,Dhaulpur,8,Rajasthan,06-04-2020,Deaths,0
107,Karauli,8,Rajasthan,06-04-2020,Cases,1
107,Karauli,8,Rajasthan,06-04-2020,Deaths,0
108,Sawai Madhopur,8,Rajasthan,06-04-2020,Cases,0
108,Sawai Madhopur,8,Rajasthan,06-04-2020,Deaths,0
109,Dausa,8,Rajasthan,06-04-2020,Cases,3
109,Dausa,8,Rajasthan,06-04-2020,Deaths,0
110,Jaipur,8,Rajasthan,06-04-2020,Cases,92
110,Jaipur,8,Rajasthan,06-04-2020,Deaths,0
111,Sikar,8,Rajasthan,06-04-2020,Cases,1
111,Sikar,8,Rajasthan,06-04-2020,Deaths,0
112,Nagaur,8,Rajasthan,06-04-2020,Cases,1
112,Nagaur,8,Rajasthan,06-04-2020,Deaths,0
113,Jodhpur,8,Rajasthan,06-04-2020,Cases,28
113,Jodhpur,8,Rajasthan,06-04-2020,Deaths,0
114,Jaisalmer,8,Rajasthan,06-04-2020,Cases,19
114,Jaisalmer,8,Rajasthan,06-04-2020,Deaths,0
115,Barmer,8,Rajasthan,06-04-2020,Cases,0
115,Barmer,8,Rajasthan,06-04-2020,Deaths,0
116,Jalor,8,Rajasthan,06-04-2020,Cases,0
116,Jalor,8,Rajasthan,06-04-2020,Deaths,0
117,Sirohi,8,Rajasthan,06-04-2020,Cases,0
117,Sirohi,8,Rajasthan,06-04-2020,Deaths,0
118,Pali,8,Rajasthan,06-04-2020,Cases,1
118,Pali,8,Rajasthan,06-04-2020,Deaths,0
119,Ajmer,8,Rajasthan,06-04-2020,Cases,5
119,Ajmer,8,Rajasthan,06-04-2020,Deaths,0
120,Tonk,8,Rajasthan,06-04-2020,Cases,17
120,Tonk,8,Rajasthan,06-04-2020,Deaths,0
121,Bundi,8,Rajasthan,06-04-2020,Cases,0
121,Bundi,8,Rajasthan,06-04-2020,Deaths,0
122,Bhilwara,8,Rajasthan,06-04-2020,Cases,27
122,Bhilwara,8,Rajasthan,06-04-2020,Deaths,2
123,Rajsamand,8,Rajasthan,06-04-2020,Cases,0
123,Rajsamand,8,Rajasthan,06-04-2020,Deaths,0
124,Dungarpur,8,Rajasthan,06-04-2020,Cases,3
124,Dungarpur,8,Rajasthan,06-04-2020,Deaths,0
125,Banswara,8,Rajasthan,06-04-2020,Cases,2
125,Banswara,8,Rajasthan,06-04-2020,Deaths,0
126,Chittaurgarh,8,Rajasthan,06-04-2020,Cases,0
126,Chittaurgarh,8,Rajasthan,06-04-2020,Deaths,0
127,Kota,8,Rajasthan,06-04-2020,Cases,0
127,Kota,8,Rajasthan,06-04-2020,Deaths,0
128,Baran,8,Rajasthan,06-04-2020,Cases,0
128,Baran,8,Rajasthan,06-04-2020,Deaths,0
129,Jhalawar,8,Rajasthan,06-04-2020,Cases,0
129,Jhalawar,8,Rajasthan,06-04-2020,Deaths,0
130,Udaipur,8,Rajasthan,06-04-2020,Cases,3
130,Udaipur,8,Rajasthan,06-04-2020,Deaths,0
131,Pratapgarh,8,Rajasthan,06-04-2020,Cases,2
131,Pratapgarh,8,Rajasthan,06-04-2020,Deaths,0
132,Saharanpur,9,Uttar Pradesh,06-04-2020,Cases,12
132,Saharanpur,9,Uttar Pradesh,06-04-2020,Deaths,0
133,Muzaffarnagar,9,Uttar Pradesh,06-04-2020,Cases,11
133,Muzaffarnagar,9,Uttar Pradesh,06-04-2020,Deaths,0
134,Bijnor,9,Uttar Pradesh,06-04-2020,Cases,0
134,Bijnor,9,Uttar Pradesh,06-04-2020,Deaths,0
135,Moradabad,9,Uttar Pradesh,06-04-2020,Cases,1
135,Moradabad,9,Uttar Pradesh,06-04-2020,Deaths,0
136,Rampur,9,Uttar Pradesh,06-04-2020,Cases,0
136,Rampur,9,Uttar Pradesh,06-04-2020,Deaths,0
137,Amroha,9,Uttar Pradesh,06-04-2020,Cases,0
137,Amroha,9,Uttar Pradesh,06-04-2020,Deaths,0
138,Meerut,9,Uttar Pradesh,06-04-2020,Cases,31
138,Meerut,9,Uttar Pradesh,06-04-2020,Deaths,1
139,Baghpat,9,Uttar Pradesh,06-04-2020,Cases,2
139,Baghpat,9,Uttar Pradesh,06-04-2020,Deaths,0
140,Ghaziabad,9,Uttar Pradesh,06-04-2020,Cases,23
140,Ghaziabad,9,Uttar Pradesh,06-04-2020,Deaths,0
141,Gautam Buddha Nagar,9,Uttar Pradesh,06-04-2020,Cases,61
141,Gautam Buddha Nagar,9,Uttar Pradesh,06-04-2020,Deaths,0
142,Bulandshahr,9,Uttar Pradesh,06-04-2020,Cases,3
142,Bulandshahr,9,Uttar Pradesh,06-04-2020,Deaths,0
143,Aligarh,9,Uttar Pradesh,06-04-2020,Cases,0
143,Aligarh,9,Uttar Pradesh,06-04-2020,Deaths,0
144,Mahamaya Nagar,9,Uttar Pradesh,06-04-2020,Cases,0
144,Mahamaya Nagar,9,Uttar Pradesh,06-04-2020,Deaths,0
145,Mathura,9,Uttar Pradesh,06-04-2020,Cases,0
145,Mathura,9,Uttar Pradesh,06-04-2020,Deaths,0
146,Agra,9,Uttar Pradesh,06-04-2020,Cases,45
146,Agra,9,Uttar Pradesh,06-04-2020,Deaths,0
147,Firozabad,9,Uttar Pradesh,06-04-2020,Cases,4
147,Firozabad,9,Uttar Pradesh,06-04-2020,Deaths,0
148,Mainpuri,9,Uttar Pradesh,06-04-2020,Cases,0
148,Mainpuri,9,Uttar Pradesh,06-04-2020,Deaths,0
149,Budaun,9,Uttar Pradesh,06-04-2020,Cases,0
149,Budaun,9,Uttar Pradesh,06-04-2020,Deaths,0
150,Bareilly,9,Uttar Pradesh,06-04-2020,Cases,6
150,Bareilly,9,Uttar Pradesh,06-04-2020,Deaths,0
151,Pilibhit,9,Uttar Pradesh,06-04-2020,Cases,2
151,Pilibhit,9,Uttar Pradesh,06-04-2020,Deaths,0
152,Shahjahanpur,9,Uttar Pradesh,06-04-2020,Cases,1
152,Shahjahanpur,9,Uttar Pradesh,06-04-2020,Deaths,0
153,Kheri,9,Uttar Pradesh,06-04-2020,Cases,1
153,Kheri,9,Uttar Pradesh,06-04-2020,Deaths,0
154,Sitapur,9,Uttar Pradesh,06-04-2020,Cases,8
154,Sitapur,9,Uttar Pradesh,06-04-2020,Deaths,0
155,Hardoi,9,Uttar Pradesh,06-04-2020,Cases,1
155,Hardoi,9,Uttar Pradesh,06-04-2020,Deaths,0
156,Unnao,9,Uttar Pradesh,06-04-2020,Cases,0
156,Unnao,9,Uttar Pradesh,06-04-2020,Deaths,0
157,Lucknow,9,Uttar Pradesh,06-04-2020,Cases,23
157,Lucknow,9,Uttar Pradesh,06-04-2020,Deaths,0
158,Rae Bareli,9,Uttar Pradesh,06-04-2020,Cases,2
158,Rae Bareli,9,Uttar Pradesh,06-04-2020,Deaths,0
159,Farrukhabad,9,Uttar Pradesh,06-04-2020,Cases,0
159,Farrukhabad,9,Uttar Pradesh,06-04-2020,Deaths,0
160,Kannauj,9,Uttar Pradesh,06-04-2020,Cases,0
160,Kannauj,9,Uttar Pradesh,06-04-2020,Deaths,0
161,Etawah,9,Uttar Pradesh,06-04-2020,Cases,0
161,Etawah,9,Uttar Pradesh,06-04-2020,Deaths,0
162,Auraiya,9,Uttar Pradesh,06-04-2020,Cases,4
162,Auraiya,9,Uttar Pradesh,06-04-2020,Deaths,0
163,Kanpur Dehat,9,Uttar Pradesh,06-04-2020,Cases,0
163,Kanpur Dehat,9,Uttar Pradesh,06-04-2020,Deaths,0
164,Kanpur Nagar,9,Uttar Pradesh,06-04-2020,Cases,7
164,Kanpur Nagar,9,Uttar Pradesh,06-04-2020,Deaths,0
165,Jalaun,9,Uttar Pradesh,06-04-2020,Cases,0
165,Jalaun,9,Uttar Pradesh,06-04-2020,Deaths,0
166,Jhansi,9,Uttar Pradesh,06-04-2020,Cases,0
166,Jhansi,9,Uttar Pradesh,06-04-2020,Deaths,0
167,Lalitpur,9,Uttar Pradesh,06-04-2020,Cases,0
167,Lalitpur,9,Uttar Pradesh,06-04-2020,Deaths,0
168,Hamirpur,9,Uttar Pradesh,06-04-2020,Cases,0
168,Hamirpur,9,Uttar Pradesh,06-04-2020,Deaths,0
169,Mahoba,9,Uttar Pradesh,06-04-2020,Cases,0
169,Mahoba,9,Uttar Pradesh,06-04-2020,Deaths,0
170,Banda,9,Uttar Pradesh,06-04-2020,Cases,1
170,Banda,9,Uttar Pradesh,06-04-2020,Deaths,0
171,Chitrakoot,9,Uttar Pradesh,06-04-2020,Cases,0
171,Chitrakoot,9,Uttar Pradesh,06-04-2020,Deaths,0
172,Fatehpur,9,Uttar Pradesh,06-04-2020,Cases,0
172,Fatehpur,9,Uttar Pradesh,06-04-2020,Deaths,0
173,Pratapgarh,9,Uttar Pradesh,06-04-2020,Cases,2
173,Pratapgarh,9,Uttar Pradesh,06-04-2020,Deaths,0
174,Kaushambi,9,Uttar Pradesh,06-04-2020,Cases,1
174,Kaushambi,9,Uttar Pradesh,06-04-2020,Deaths,0
175,Allahabad,9,Uttar Pradesh,06-04-2020,Cases,1
175,Allahabad,9,Uttar Pradesh,06-04-2020,Deaths,0
176,Bara Banki,9,Uttar Pradesh,06-04-2020,Cases,1
176,Bara Banki,9,Uttar Pradesh,06-04-2020,Deaths,0
177,Faizabad,9,Uttar Pradesh,06-04-2020,Cases,0
177,Faizabad,9,Uttar Pradesh,06-04-2020,Deaths,0
178,Ambedkar Nagar,9,Uttar Pradesh,06-04-2020,Cases,0
178,Ambedkar Nagar,9,Uttar Pradesh,06-04-2020,Deaths,0
179,Sultanpur,9,Uttar Pradesh,06-04-2020,Cases,0
179,Sultanpur,9,Uttar Pradesh,06-04-2020,Deaths,0
180,Bahraich,9,Uttar Pradesh,06-04-2020,Cases,0
180,Bahraich,9,Uttar Pradesh,06-04-2020,Deaths,0
181,Shrawasti,9,Uttar Pradesh,06-04-2020,Cases,0
181,Shrawasti,9,Uttar Pradesh,06-04-2020,Deaths,0
182,Balrampur,9,Uttar Pradesh,06-04-2020,Cases,0
182,Balrampur,9,Uttar Pradesh,06-04-2020,Deaths,0
183,Gonda,9,Uttar Pradesh,06-04-2020,Cases,0
183,Gonda,9,Uttar Pradesh,06-04-2020,Deaths,0
184,Siddharthnagar,9,Uttar Pradesh,06-04-2020,Cases,0
184,Siddharthnagar,9,Uttar Pradesh,06-04-2020,Deaths,0
185,Basti,9,Uttar Pradesh,06-04-2020,Cases,6
185,Basti,9,Uttar Pradesh,06-04-2020,Deaths,1
186,Sant Kabir Nagar,9,Uttar Pradesh,06-04-2020,Cases,0
186,Sant Kabir Nagar,9,Uttar Pradesh,06-04-2020,Deaths,0
187,Mahrajganj,9,Uttar Pradesh,06-04-2020,Cases,6
187,Mahrajganj,9,Uttar Pradesh,06-04-2020,Deaths,0
188,Gorakhpur,9,Uttar Pradesh,06-04-2020,Cases,0
188,Gorakhpur,9,Uttar Pradesh,06-04-2020,Deaths,0
189,Kushinagar,9,Uttar Pradesh,06-04-2020,Cases,0
189,Kushinagar,9,Uttar Pradesh,06-04-2020,Deaths,0
190,Deoria,9,Uttar Pradesh,06-04-2020,Cases,0
190,Deoria,9,Uttar Pradesh,06-04-2020,Deaths,0
191,Azamgarh,9,Uttar Pradesh,06-04-2020,Cases,4
191,Azamgarh,9,Uttar Pradesh,06-04-2020,Deaths,0
192,Mau,9,Uttar Pradesh,06-04-2020,Cases,0
192,Mau,9,Uttar Pradesh,06-04-2020,Deaths,0
193,Ballia,9,Uttar Pradesh,06-04-2020,Cases,0
193,Ballia,9,Uttar Pradesh,06-04-2020,Deaths,0
194,Jaunpur,9,Uttar Pradesh,06-04-2020,Cases,3
194,Jaunpur,9,Uttar Pradesh,06-04-2020,Deaths,0
195,Ghazipur,9,Uttar Pradesh,06-04-2020,Cases,5
195,Ghazipur,9,Uttar Pradesh,06-04-2020,Deaths,0
196,Chandauli,9,Uttar Pradesh,06-04-2020,Cases,0
196,Chandauli,9,Uttar Pradesh,06-04-2020,Deaths,0
197,Varanasi,9,Uttar Pradesh,06-04-2020,Cases,5
197,Varanasi,9,Uttar Pradesh,06-04-2020,Deaths,1
198,Bhadohi,9,Uttar Pradesh,06-04-2020,Cases,0
198,Bhadohi,9,Uttar Pradesh,06-04-2020,Deaths,0
199,Mirzapur,9,Uttar Pradesh,06-04-2020,Cases,2
199,Mirzapur,9,Uttar Pradesh,06-04-2020,Deaths,0
200,Sonbhadra,9,Uttar Pradesh,06-04-2020,Cases,0
200,Sonbhadra,9,Uttar Pradesh,06-04-2020,Deaths,0
201,Etah,9,Uttar Pradesh,06-04-2020,Cases,0
201,Etah,9,Uttar Pradesh,06-04-2020,Deaths,0
202,Kasganj,9,Uttar Pradesh,06-04-2020,Cases,0
202,Kasganj,9,Uttar Pradesh,06-04-2020,Deaths,0
203,Pashchim Champaran,10,Bihar,06-04-2020,Cases,0
203,Pashchim Champaran,10,Bihar,06-04-2020,Deaths,0
204,Purba Champaran,10,Bihar,06-04-2020,Cases,0
204,Purba Champaran,10,Bihar,06-04-2020,Deaths,0
205,Sheohar,10,Bihar,06-04-2020,Cases,0
205,Sheohar,10,Bihar,06-04-2020,Deaths,0
206,Sitamarhi,10,Bihar,06-04-2020,Cases,0
206,Sitamarhi,10,Bihar,06-04-2020,Deaths,0
207,Madhubani,10,Bihar,06-04-2020,Cases,0
207,Madhubani,10,Bihar,06-04-2020,Deaths,0
208,Supaul,10,Bihar,06-04-2020,Cases,0
208,Supaul,10,Bihar,06-04-2020,Deaths,0
209,Araria,10,Bihar,06-04-2020,Cases,0
209,Araria,10,Bihar,06-04-2020,Deaths,0
210,Kishanganj,10,Bihar,06-04-2020,Cases,0
210,Kishanganj,10,Bihar,06-04-2020,Deaths,0
211,Purnia,10,Bihar,06-04-2020,Cases,0
211,Purnia,10,Bihar,06-04-2020,Deaths,0
212,Katihar,10,Bihar,06-04-2020,Cases,0
212,Katihar,10,Bihar,06-04-2020,Deaths,0
213,Madhepura,10,Bihar,06-04-2020,Cases,0
213,Madhepura,10,Bihar,06-04-2020,Deaths,0
214,Saharsa,10,Bihar,06-04-2020,Cases,0
214,Saharsa,10,Bihar,06-04-2020,Deaths,0
215,Darbhanga,10,Bihar,06-04-2020,Cases,1
215,Darbhanga,10,Bihar,06-04-2020,Deaths,0
216,Muzaffarpur,10,Bihar,06-04-2020,Cases,0
216,Muzaffarpur,10,Bihar,06-04-2020,Deaths,0
217,Gopalganj,10,Bihar,06-04-2020,Cases,3
217,Gopalganj,10,Bihar,06-04-2020,Deaths,0
218,Siwan,10,Bihar,06-04-2020,Cases,6
218,Siwan,10,Bihar,06-04-2020,Deaths,0
